GeneOrder	GroupName	GroupProteinFunction	GeneAccession	GeneLink	GeneProteinFunction	IsolateName	IsolateAccession	isIsolate	GroupNameGood	Fence	GenomeAcc	NcbiIsolateName	GenomeOrder	inNewPoxAlign
13	D5	NTPase	YP_001293274.1	PROT:YP_001293274.1	hypothetical protein GTPV_gp079	Goatpox virus Pellor	NC_004003.1	1	1	=	NC_004003.1	Pellor	23	Y
13	D5	NTPase	ABH08217.1	PROT:ABH08217.1	HSPV111	Horsepox virus	DQ792504	1	1	=	DQ792504.1	MNR-76	24	Y
13	D5	NTPase	AAK85044.1	PROT:AAK85044.1	LSDV083 putative NTPase	Lumpy skin disease virus NI-2490	AF325528	1	1	=	AF325528.1	Neethling 2490	25	Y
13	D5	NTPase	AAC97809.1	PROT:AAC97809.1	"ORF MSV089 Putative NTPase, Rabbit fibroma virus C5 (vaccinia D5R) homolog, similar to PIR:G41700"	Melanoplus sanguinipes entomopoxvirus 'O'	AF063866	1	1	=	AF063866.1	Tucson	30	Y
13	D5	NTPase	AAC55222.1	PROT:AAC55222.1	MC094R	Molluscum contagiosum virus subtype 1	U60315	1	1	=	U60315.1	Molluscum contagiosum virus subtype 1	26	Y
13	D5	NTPase	AAX09197.1	PROT:AAX09197.1	MPXV-COP-096	monkeypox virus clade IIa strain cOP-58	AY753185	1	1	=	AY753185.1	COP-58	28	Y
13	D5	NTPase	AAL40560.1	PROT:AAL40560.1	E5R	Monkeypox virus clade I strain Zaire-96-I-16	AF380138	1	1	=	AF380138.1	Zaire-96-I-16	29	Y
13	D5	NTPase	AST09301.1	PROT:AST09301.1	NTPase	Murmansk poxvirus	MF001304	1	1	=	MF001304.1	LEIV-11411	27	Y
13	D5	NTPase	CCU56308.1	PROT:CCU56308.1	"NTPase, DNA primase"	Mythimna separata entomopoxvirus 'L'	HF679134	1	1	=	HF679134.1	Mythimna separata entomopoxvirus 'L'	31	Y
13	D5	NTPase	AAF14968.1	PROT:AAF14968.1	m80R	Myxoma virus strain Lausanne	AF170726	1	1	=	AF170726.2	Lausanne	32	Y
13	D5	NTPase	AFU77344.1	PROT:AFU77344.1	m80R	Myxoma virus isolate BRK 897	JX565564	1	1	=	JX565564.1	Aust/Brooklands/1-95	33	N
13	D5	NTPase	ABJ09004.1	PROT:ABJ09004.1	NTPase	Nile crocodilepox virus	DQ356948	1	1	=	DQ356948.1	Nile crocodilepox virus	34	Y
13	D5	NTPase	ABA00585.1	PROT:ABA00585.1	NTPase	Orf virus strain NZ2	DQ184476	1	1	=	DQ184476.1	NZ2	36	N
13	D5	NTPase	AAR98293.1	PROT:AAR98293.1	ORF068 NTPase	Orf virus strain OV-SA00	AY386264	1	1	=	AY386264.1	OV-SA00	35	Y
13	D5	NTPase	AYN64676.1	PROT:AYN64676.1	putative D5R protein	Orthopoxvirus Abatino	MH816996	1	1	=	MH816996.1	Abatino	1	Y
13	D5	NTPase	AIZ77319.1	PROT:AIZ77319.1	putative NTPase	Parapoxvirus red deer/HL953	KM502564	1	1	=	KM502564.1	HL953	42	Y
13	D5	NTPase	AID46800.1	PROT:AID46800.1	NTPase	Penguinpox virus	KJ859677	1	1	=	KJ859677.1	PSan92	39	Y
13	D5	NTPase	AID46571.1	PROT:AID46571.1	NTPase	Pigeonpox virus	KJ801920	1	1	=	KJ801920.1	FeP2	38	Y
13	D5	NTPase	ADC53969.1	PROT:ADC53969.1	NTPase	Pseudocowpox virus	GQ329670	1	1	=	GQ329670.1	VR634	37	Y
13	D5	NTPase	ANS71170.1	PROT:ANS71170.1	"ntpase, DNA primase"	Pteropox virus	KU980965	1	1	=	KU980965.1	Australia	40	Y
13	D5	NTPase	AAF17964.1	PROT:AAF17964.1	gp080R	Rabbit fibroma virus	AF170722	1	1	=	AF170722.1	Kasza	43	Y
13	D5	NTPase	AKJ93739.1	PROT:AKJ93739.1	NTPase	Raccoonpox virus	KP143769	1	1	=	KP143769.1	Herman	41	Y
13	D5	NTPase	AKR04215.1	PROT:AKR04215.1	D5-like helicase-primase	Salmon gill poxvirus	KT159937	1	1	=	KT159937.1	2012-04-F277-L3G	46	Y
13	D5	NTPase	AWU47126.1	PROT:AWU47126.1	NTPase	Sea otter poxvirus	MH427217	1	1	=	MH427217.1	ELK	47	Y
13	D5	NTPase	ASC55572.1	PROT:ASC55572.1	putative NTPase-like protein	Seal parapoxvirus	KY382358	1	1	=	KY382358.2	AFK76s1	22	Y
13	D5	NTPase	NP_659655.1	PROT:NP_659655.1	NTPase; DNA replication	Sheeppox virus	NC_004002.1	1	1	=	NC_004002.1	TU-V02127	44	Y
13	D5	NTPase	AOP31588.1	PROT:AOP31588.1	NTPase	Skunkpox virus	KU749310	1	1	=	KU749310.1	WA	45	Y
13	D5	NTPase	CCD83259.1	PROT:CCD83259.1	NTPase	Squirrelpox virus	HE601899	1	1	=	HE601899.1	Red squirrel UK	48	Y
13	D5	NTPase	AAL69819.1	PROT:AAL69819.1	SPV080 putative NTPase	Swinepox virus	AF410153	1	1	=	AF410153.1	17077-99	49	Y
13	D5	NTPase	ABD97678.1	PROT:ABD97678.1	NTPase	Taterapox virus	DQ437594	1	1	=	DQ437594.1	Dahomey 1968	50	Y
13	D5	NTPase	ALA62409.1	PROT:ALA62409.1	DNA replication NTPase	Turkeypox virus	KP728110	1	1	=	KP728110.2	TKPV-HU1124/2011	51	Y
13	D5	NTPase	AAO89389.1	PROT:AAO89389.1	NTPase interacts with A20R	Vaccinia virus WR	AY243312	1	1	=	AY243312.1	WR (Western Reserve)	52	Y
13	D5	NTPase	CAA49036.1	PROT:CAA49036.1	F5R	Variola virus major	X69198	1	1	=	X69198.1	"India-1967, ssp. major"	53	Y
13	D5	NTPase	CAB54695.1	PROT:CAB54695.1	F5R protein	Variola minor virus	Y16780	1	1	=	Y16780.1	Garcia-1966	54	Y
13	D5	NTPase	AOP31799.1	PROT:AOP31799.1	NTPase	Volepox virus	KU749311	1	1	=	KU749311.1	CA	55	Y
13	D5	NTPase	ATI21028.1	PROT:ATI21028.1		Western grey kangaroopox virus	MF467280	1	1	=	MF467280.1	Western Australia	56	Y
13	D5	NTPase	AAR07439.1	PROT:AAR07439.1	83R	Yaba monkey tumor virus	AY386371	1	1	=	AY386371.1	Yaba monkey tumor virus	59	Y
13	D5	NTPase	CAC21321.1	PROT:CAC21321.1	83R protein	Yaba-like disease virus	AJ293568	1	1	=	AJ293568.1	Yaba-like disease virus	58	Y
13	D5	NTPase	AEN03679.1	PROT:AEN03679.1	NTPase	Yokapox virus	HQ849551	1	1	=	HQ849551.1	DakArB 4268	57	Y
14	D6	VETF-S	CCU55480.1	PROT:CCU55480.1	"morph, VETF-s early transcription factor small"	Adoxophyes honmai entomopoxvirus 'L'	HF679131	1	1	=	HF679131.1	Tokyo	3	Y
14	D6	VETF-S	AXN74905.1	PROT:AXN74905.1	early transcription factor	Akhmeta virus	MH607141	1	1	=	MH607141.1	Akhmeta_2013-88	4	Y
14	D6	VETF-S	AAG02880.1	PROT:AAG02880.1	AMV174	Amsacta moorei entomopoxvirus	AF250284	1	1	=	AF250284.1	Amsacta moorei entomopoxvirus	5	Y
14	D6	VETF-S	BAO49470.1	PROT:BAO49470.1	putative early transcription factor small subuni	Anomala cuprea entomopoxvirus	AP013055	1	1	=	AP013055.1	CV6M	2	Y
14	D6	VETF-S	APG58302.1	PROT:APG58302.1	early transcription factor 70 kDa subuni	BeAn 58058 virus	KY094066	1	1	=	KY094066.1	BeAn58058	7	N
14	D6	VETF-S	AAR98426.1	PROT:AAR98426.1	ORF069 early transcription factor VETFs	Bovine papular stomatitis virus	AY386265	1	1	=	AY386265.1	BV-AR02	6	Y
14	D6	VETF-S	AAG37586.1	PROT:AAG37586.1	CMP108R	Camelpox virus CMS	AY009089	1	1	=	AY009089.1	CMS	9	N
14	D6	VETF-S	AAL73816.1	PROT:AAL73816.1	putative early transcription factor VETFS	Camelpox virus M-96	AF438165	1	1	=	AF438165.1	M-96	8	Y
14	D6	VETF-S	AAR83426.1	PROT:AAR83426.1	CNPV080 early transcription factor small subunit VETFS	Canarypox virus	AY318871	1	1	=	AY318871.1	ATCC VR-111	11	Y
14	D6	VETF-S	CCU55785.1	PROT:CCU55785.1	"morph, VETF-s early transcription factor small"	Choristoneura biennis entomopoxvirus	HF679132	1	1	=	HF679132.1	Choristoneura biennis entomopoxvirus	10	Y
14	D6	VETF-S	CCU56087.1	PROT:CCU56087.1	"morph, VETF-s early transcription factor small"	Choristoneura rosaceana entomopoxvirus 'L'	HF679133	1	1	=	HF679133.1	Choristoneura rosaceana entomopoxvirus 'L'	14	Y
14	D6	VETF-S	ADT91114.1	PROT:ADT91114.1	viral early transcription factor small subuni	Cotia virus SPAn232	HQ647181	1	1	=	HQ647181.2	SPAn232	12	Y
14	D6	VETF-S	AAM13565.1	PROT:AAM13565.1	CPXV123 protein	Cowpox virus	AF482758	1	1	=	AF482758.2	Brighton Red	13	Y
14	D6	VETF-S	ABI99248.1	PROT:ABI99248.1	early transcription factor VETFs	Deerpox virus W-848-83	AY689436	1	1	=	AY689436.1	W-848-83	15	Y
14	D6	VETF-S	ATI21193.1	PROT:ATI21193.1	morphogenesis VETF-s	Eastern grey kangaroopox virus	MF467281	1	1	=	MF467281.1	Sunshine Coast	18	Y
14	D6	VETF-S	AAM92399.1	PROT:AAM92399.1	EVM095	Ectromelia virus	AF012825	1	1	=	AF012825.2	Moscow	16	Y
14	D6	VETF-S	AFH54658.1	PROT:AFH54658.1	viral early transcription factor small subuni	Ectromelia virus ERPV	JQ410350	1	1	=	JQ410350.1	ERPV	17	N
14	D6	VETF-S	ASK51289.1	PROT:ASK51289.1	Early transcription factor small subunit (VETF-s)	Eptesipox virus	KY747497	1	1	=	KY747497.1	Washington	19	Y
14	D6	VETF-S	AUD40159.1	PROT:AUD40159.1	early transcription factor small subuni	Flamingopox virus FGPVKD09	MF678796	1	1	=	MF678796.1	FGPVKD09	20	Y
14	D6	VETF-S	AAF44401.1	PROT:AAF44401.1	ORF FPV057 Early transcription factor small subuni	Fowlpox virus	AF198100	1	1	=	AF198100.1	Fowlpox virus	21	Y
14	D6	VETF-S	YP_001293275.1	PROT:YP_001293275.1	hypothetical protein GTPV_gp080	Goatpox virus Pellor	NC_004003.1	1	1	=	NC_004003.1	Pellor	23	Y
14	D6	VETF-S	ABH08218.1	PROT:ABH08218.1	HSPV112	Horsepox virus	DQ792504	1	1	=	DQ792504.1	MNR-76	24	Y
14	D6	VETF-S	AAK85045.1	PROT:AAK85045.1	LSDV084 putative early transcription factor small subuni	Lumpy skin disease virus NI-2490	AF325528	1	1	=	AF325528.1	Neethling 2490	25	Y
14	D6	VETF-S	AAC97658.1	PROT:AAC97658.1	"ORF MSV113 putative early transcription factor small subunit VETF-S homolog (vaccinia D6R), similar to SW:P04308"	Melanoplus sanguinipes entomopoxvirus 'O'	AF063866	1	1	=	AF063866.1	Tucson	30	Y
14	D6	VETF-S	AAC55223.1	PROT:AAC55223.1	MC095R	Molluscum contagiosum virus subtype 1	U60315	1	1	=	U60315.1	Molluscum contagiosum virus subtype 1	26	Y
14	D6	VETF-S	AAX09198.1	PROT:AAX09198.1	MPXV-COP-097	monkeypox virus clade IIa strain cOP-58	AY753185	1	1	=	AY753185.1	COP-58	28	Y
14	D6	VETF-S	AAL40561.1	PROT:AAL40561.1	E6R	Monkeypox virus clade I strain Zaire-96-I-16	AF380138	1	1	=	AF380138.1	Zaire-96-I-16	29	Y
14	D6	VETF-S	AST09302.1	PROT:AST09302.1	early gene transcription factor	Murmansk poxvirus	MF001304	1	1	=	MF001304.1	LEIV-11411	27	Y
14	D6	VETF-S	CCU56412.1	PROT:CCU56412.1	"morph, VETF-s early transcription factor small"	Mythimna separata entomopoxvirus 'L'	HF679134	1	1	=	HF679134.1	Mythimna separata entomopoxvirus 'L'	31	Y
14	D6	VETF-S	AAF14969.1	PROT:AAF14969.1	m81R	Myxoma virus strain Lausanne	AF170726	1	1	=	AF170726.2	Lausanne	32	Y
14	D6	VETF-S	AFU77345.1	PROT:AFU77345.1	m81R	Myxoma virus isolate BRK 897	JX565564	1	1	=	JX565564.1	Aust/Brooklands/1-95	33	N
14	D6	VETF-S	ABJ09005.1	PROT:ABJ09005.1	early transcription factor small subuni	Nile crocodilepox virus	DQ356948	1	1	=	DQ356948.1	Nile crocodilepox virus	34	Y
14	D6	VETF-S	ABA00586.1	PROT:ABA00586.1	early transcription factor	Orf virus strain NZ2	DQ184476	1	1	=	DQ184476.1	NZ2	36	N
14	D6	VETF-S	AAR98294.1	PROT:AAR98294.1	ORF069 early transcription factor VETFs	Orf virus strain OV-SA00	AY386264	1	1	=	AY386264.1	OV-SA00	35	Y
14	D6	VETF-S	AYN64677.1	PROT:AYN64677.1	putative D6R protein	Orthopoxvirus Abatino	MH816996	1	1	=	MH816996.1	Abatino	1	Y
14	D6	VETF-S	AIZ77320.1	PROT:AIZ77320.1	putative early transcription factor VETF	Parapoxvirus red deer/HL953	KM502564	1	1	=	KM502564.1	HL953	42	Y
14	D6	VETF-S	AID46799.1	PROT:AID46799.1	early transcription factor VETF	Penguinpox virus	KJ859677	1	1	=	KJ859677.1	PSan92	39	Y
14	D6	VETF-S	AID46570.1	PROT:AID46570.1	early transcription factor VETF	Pigeonpox virus	KJ801920	1	1	=	KJ801920.1	FeP2	38	Y
14	D6	VETF-S	ADC53970.1	PROT:ADC53970.1	early transcription factor	Pseudocowpox virus	GQ329670	1	1	=	GQ329670.1	VR634	37	Y
14	D6	VETF-S	ANS71171.1	PROT:ANS71171.1	small subunit viral early transcription factor	Pteropox virus	KU980965	1	1	=	KU980965.1	Australia	40	Y
14	D6	VETF-S	AAF17965.1	PROT:AAF17965.1	gp081R	Rabbit fibroma virus	AF170722	1	1	=	AF170722.1	Kasza	43	Y
14	D6	VETF-S	AKJ93740.1	PROT:AKJ93740.1	VETF	Raccoonpox virus	KP143769	1	1	=	KP143769.1	Herman	41	Y
14	D6	VETF-S	AKR04214.1	PROT:AKR04214.1	DEAD/SNF2-like helicase	Salmon gill poxvirus	KT159937	1	1	=	KT159937.1	2012-04-F277-L3G	46	Y
14	D6	VETF-S	AWU47127.1	PROT:AWU47127.1	VETF-small subuni	Sea otter poxvirus	MH427217	1	1	=	MH427217.1	ELK	47	Y
14	D6	VETF-S	ASC55571.1	PROT:ASC55571.1	putative early transcription factor VETF-like protein	Seal parapoxvirus	KY382358	1	1	=	KY382358.2	AFK76s1	22	Y
14	D6	VETF-S	NP_659656.1	PROT:NP_659656.1	Early transcription factor VETFs	Sheeppox virus	NC_004002.1	1	1	=	NC_004002.1	TU-V02127	44	Y
14	D6	VETF-S	AOP31589.1	PROT:AOP31589.1	morph	Skunkpox virus	KU749310	1	1	=	KU749310.1	WA	45	Y
14	D6	VETF-S	CCD83260.1	PROT:CCD83260.1	early transcription factor	Squirrelpox virus	HE601899	1	1	=	HE601899.1	Red squirrel UK	48	Y
14	D6	VETF-S	AAL69820.1	PROT:AAL69820.1	SPV081 putative early transcription factor VETFS	Swinepox virus	AF410153	1	1	=	AF410153.1	17077-99	49	Y
14	D6	VETF-S	ABD97679.1	PROT:ABD97679.1	70kDa small subunit of early transcription initiation factor VETF	Taterapox virus	DQ437594	1	1	=	DQ437594.1	Dahomey 1968	50	Y
14	D6	VETF-S	ALA62408.1	PROT:ALA62408.1	early transcription factor VETF-S	Turkeypox virus	KP728110	1	1	=	KP728110.2	TKPV-HU1124/2011	51	Y
14	D6	VETF-S	AAO89390.1	PROT:AAO89390.1	70kDa small subunit of early gene transcription factor VETF	Vaccinia virus WR	AY243312	1	1	=	AY243312.1	WR (Western Reserve)	52	Y
14	D6	VETF-S	CAA49037.1	PROT:CAA49037.1	F6R	Variola virus major	X69198	1	1	=	X69198.1	"India-1967, ssp. major"	53	Y
14	D6	VETF-S	CAB54696.1	PROT:CAB54696.1	F6R protein	Variola minor virus	Y16780	1	1	=	Y16780.1	Garcia-1966	54	Y
14	D6	VETF-S	AOP31800.1	PROT:AOP31800.1	morph	Volepox virus	KU749311	1	1	=	KU749311.1	CA	55	Y
14	D6	VETF-S	ATI21029.1	PROT:ATI21029.1		Western grey kangaroopox virus	MF467280	1	1	=	MF467280.1	Western Australia	56	Y
14	D6	VETF-S	AAR07440.1	PROT:AAR07440.1	84R	Yaba monkey tumor virus	AY386371	1	1	=	AY386371.1	Yaba monkey tumor virus	59	Y
14	D6	VETF-S	CAC21322.1	PROT:CAC21322.1	84R protein	Yaba-like disease virus	AJ293568	1	1	=	AJ293568.1	Yaba-like disease virus	58	Y
14	D6	VETF-S	AEN03681.1	PROT:AEN03681.1	early gene transcription factor	Yokapox virus	HQ849551	1	1	=	HQ849551.1	DakArB 4268	57	Y
15	E10	sulfhydryl oxidase	CCU55424.1	PROT:CCU55424.1	sulfhydryl oxidase FAD-linked (Cop-E10R)	Adoxophyes honmai entomopoxvirus 'L'	HF679131	1	1	=	HF679131.1	Tokyo	3	Y
15	E10	sulfhydryl oxidase	AXN74857.1	PROT:AXN74857.1	sulfhydryl oxidase	Akhmeta virus	MH607141	1	1	=	MH607141.1	Akhmeta_2013-88	4	Y
15	E10	sulfhydryl oxidase	AAG02820.1	PROT:AAG02820.1	AMV114	Amsacta moorei entomopoxvirus	AF250284	1	1	=	AF250284.1	Amsacta moorei entomopoxvirus	5	Y
15	E10	sulfhydryl oxidase	BAO49428.1	PROT:BAO49428.1	sulfhydryl oxidase	Anomala cuprea entomopoxvirus	AP013055	1	1	=	AP013055.1	CV6M	2	Y
15	E10	sulfhydryl oxidase	APG58250.1	PROT:APG58250.1	putative FAD-linked sulfhydryl oxidase E10	BeAn 58058 virus	KY094066	1	1	=	KY094066.1	BeAn58058	7	N
15	E10	sulfhydryl oxidase	AAR98383.1	PROT:AAR98383.1	ORF026 IMV redox protein	Bovine papular stomatitis virus	AY386265	1	1	=	AY386265.1	BV-AR02	6	Y
15	E10	sulfhydryl oxidase	AAG37528.1	PROT:AAG37528.1	CMP62R	Camelpox virus CMS	AY009089	1	1	=	AY009089.1	CMS	9	N
15	E10	sulfhydryl oxidase	AAL73769.1	PROT:AAL73769.1	potential redox protein	Camelpox virus M-96	AF438165	1	1	=	AF438165.1	M-96	8	Y
15	E10	sulfhydryl oxidase	AAR83466.1	PROT:AAR83466.1	"CNPV120 putative IMV redox protein, virus assembly"	Canarypox virus	AY318871	1	1	=	AY318871.1	ATCC VR-111	11	Y
15	E10	sulfhydryl oxidase	CCU55729.1	PROT:CCU55729.1	sulfhydryl oxidase FAD-linked (Cop-E10R)	Choristoneura biennis entomopoxvirus	HF679132	1	1	=	HF679132.1	Choristoneura biennis entomopoxvirus	10	Y
15	E10	sulfhydryl oxidase	CCU56031.1	PROT:CCU56031.1	sulfhydryl oxidase FAD-linked (Cop-E10R)	Choristoneura rosaceana entomopoxvirus 'L'	HF679133	1	1	=	HF679133.1	Choristoneura rosaceana entomopoxvirus 'L'	14	Y
15	E10	sulfhydryl oxidase	ADT91073.1	PROT:ADT91073.1	sulfhydryl oxidase	Cotia virus SPAn232	HQ647181	1	1	=	HQ647181.2	SPAn232	12	Y
15	E10	sulfhydryl oxidase	AAM13521.1	PROT:AAM13521.1	CPXV076 protein	Cowpox virus	AF482758	1	1	=	AF482758.2	Brighton Red	13	Y
15	E10	sulfhydryl oxidase	ABI99204.1	PROT:ABI99204.1	IMV redox protein	Deerpox virus W-848-83	AY689436	1	1	=	AY689436.1	W-848-83	15	Y
15	E10	sulfhydryl oxidase	ATI21146.1	PROT:ATI21146.1	sulfhydryl oxidase	Eastern grey kangaroopox virus	MF467281	1	1	=	MF467281.1	Sunshine Coast	18	Y
15	E10	sulfhydryl oxidase	AAM92354.1	PROT:AAM92354.1	EVM050	Ectromelia virus	AF012825	1	1	=	AF012825.2	Moscow	16	Y
15	E10	sulfhydryl oxidase	AFH54612.1	PROT:AFH54612.1	disulfide bond formation pathway protein	Ectromelia virus ERPV	JQ410350	1	1	=	JQ410350.1	ERPV	17	N
15	E10	sulfhydryl oxidase	ASK51243.1	PROT:ASK51243.1	Sulfhydryl oxidase (FAD-linked)	Eptesipox virus	KY747497	1	1	=	KY747497.1	Washington	19	Y
15	E10	sulfhydryl oxidase	AUD40197.1	PROT:AUD40197.1	sulfhydryl oxidase	Flamingopox virus FGPVKD09	MF678796	1	1	=	MF678796.1	FGPVKD09	20	Y
15	E10	sulfhydryl oxidase	AAF44437.1	PROT:AAF44437.1	ORF FPV093	Fowlpox virus	AF198100	1	1	=	AF198100.1	Fowlpox virus	21	Y
15	E10	sulfhydryl oxidase	YP_001293231.1	PROT:YP_001293231.1	hypothetical protein GTPV_gp036	Goatpox virus Pellor	NC_004003.1	1	1	=	NC_004003.1	Pellor	23	Y
15	E10	sulfhydryl oxidase	ABH08170.1	PROT:ABH08170.1	HSPV067	Horsepox virus	DQ792504	1	1	=	DQ792504.1	MNR-76	24	Y
15	E10	sulfhydryl oxidase	AAK85001.1	PROT:AAK85001.1	LSDV040 putative redox protein	Lumpy skin disease virus NI-2490	AF325528	1	1	=	AF325528.1	Neethling 2490	25	Y
15	E10	sulfhydryl oxidase	AAC97808.1	PROT:AAC97808.1	"ORF MSV093 putative vaccinia E10R homolog, similar to SW:P33821 and yeast ERV1, SW:P27882"	Melanoplus sanguinipes entomopoxvirus 'O'	AF063866	1	1	=	AF063866.1	Tucson	30	Y
15	E10	sulfhydryl oxidase	AAC55168.1	PROT:AAC55168.1	MC040R	Molluscum contagiosum virus subtype 1	U60315	1	1	=	U60315.1	Molluscum contagiosum virus subtype 1	26	Y
15	E10	sulfhydryl oxidase	AAX09153.1	PROT:AAX09153.1	MPXV-COP-052	monkeypox virus clade IIa strain cOP-58	AY753185	1	1	=	AY753185.1	COP-58	28	Y
15	E10	sulfhydryl oxidase	AAL40516.1	PROT:AAL40516.1	F9R	Monkeypox virus clade I strain Zaire-96-I-16	AF380138	1	1	=	AF380138.1	Zaire-96-I-16	29	Y
15	E10	sulfhydryl oxidase	AST09256.1	PROT:AST09256.1	sulfhydryl oxidase	Murmansk poxvirus	MF001304	1	1	=	MF001304.1	LEIV-11411	27	Y
15	E10	sulfhydryl oxidase	CCU56368.1	PROT:CCU56368.1	sulfhydryl oxidase FAD-linked (Cop-E10R)	Mythimna separata entomopoxvirus 'L'	HF679134	1	1	=	HF679134.1	Mythimna separata entomopoxvirus 'L'	31	Y
15	E10	sulfhydryl oxidase	AAF14923.1	PROT:AAF14923.1	m035R	Myxoma virus strain Lausanne	AF170726	1	1	=	AF170726.2	Lausanne	32	Y
15	E10	sulfhydryl oxidase	AFU77300.1	PROT:AFU77300.1	m035R	Myxoma virus isolate BRK 897	JX565564	1	1	=	JX565564.1	Aust/Brooklands/1-95	33	N
15	E10	sulfhydryl oxidase	ABJ08951.1	PROT:ABJ08951.1	IMV redox protein	Nile crocodilepox virus	DQ356948	1	1	=	DQ356948.1	Nile crocodilepox virus	34	Y
15	E10	sulfhydryl oxidase	ABA00543.1	PROT:ABA00543.1	ERV/ALR-like protein	Orf virus strain NZ2	DQ184476	1	1	=	DQ184476.1	NZ2	36	N
15	E10	sulfhydryl oxidase	AAR98251.1	PROT:AAR98251.1	ORF026 putative IMV redox protein	Orf virus strain OV-SA00	AY386264	1	1	=	AY386264.1	OV-SA00	35	Y
15	E10	sulfhydryl oxidase	AYN64633.1	PROT:AYN64633.1	putative E10R protein	Orthopoxvirus Abatino	MH816996	1	1	=	MH816996.1	Abatino	1	Y
15	E10	sulfhydryl oxidase	AIZ77277.1	PROT:AIZ77277.1	putative IMV redox protein	Parapoxvirus red deer/HL953	KM502564	1	1	=	KM502564.1	HL953	42	Y
15	E10	sulfhydryl oxidase	AID46832.1	PROT:AID46832.1	sulfhydryl oxidase ERV1	Penguinpox virus	KJ859677	1	1	=	KJ859677.1	PSan92	39	Y
15	E10	sulfhydryl oxidase	AID46603.1	PROT:AID46603.1	sulfhydryl oxidase ERV1	Pigeonpox virus	KJ801920	1	1	=	KJ801920.1	FeP2	38	Y
15	E10	sulfhydryl oxidase	ADC53927.1	PROT:ADC53927.1	ERV/ALR-like protein	Pseudocowpox virus	GQ329670	1	1	=	GQ329670.1	VR634	37	Y
15	E10	sulfhydryl oxidase	ANS71127.1	PROT:ANS71127.1	sulfhydryl oxidase	Pteropox virus	KU980965	1	1	=	KU980965.1	Australia	40	Y
15	E10	sulfhydryl oxidase	AAF17917.1	PROT:AAF17917.1	gp035R	Rabbit fibroma virus	AF170722	1	1	=	AF170722.1	Kasza	43	Y
15	E10	sulfhydryl oxidase	AKJ93694.1	PROT:AKJ93694.1	Sulfhydryl oxidase (FAD-linked)	Raccoonpox virus	KP143769	1	1	=	KP143769.1	Herman	41	Y
15	E10	sulfhydryl oxidase	AKR04201.1	PROT:AKR04201.1	disulfide (thiol) oxidoreductase	Salmon gill poxvirus	KT159937	1	1	=	KT159937.1	2012-04-F277-L3G	46	Y
15	E10	sulfhydryl oxidase	AWU47083.1	PROT:AWU47083.1	Sulfhydryl oxidase	Sea otter poxvirus	MH427217	1	1	=	MH427217.1	ELK	47	Y
15	E10	sulfhydryl oxidase	ASF89964.1	PROT:ASF89964.1	sulfhydryl oxidase-like protein	Seal parapoxvirus	KY382358	1	1	=	KY382358.2	AFK76s1	22	Y
15	E10	sulfhydryl oxidase	NP_659612.1	PROT:NP_659612.1	"IMV redox protein, virus assembly"	Sheeppox virus	NC_004002.1	1	1	=	NC_004002.1	TU-V02127	44	Y
15	E10	sulfhydryl oxidase	AOP31543.1	PROT:AOP31543.1	sulfhydryl oxidase	Skunkpox virus	KU749310	1	1	=	KU749310.1	WA	45	Y
15	E10	sulfhydryl oxidase	CCD83216.1	PROT:CCD83216.1	putative redox protein	Squirrelpox virus	HE601899	1	1	=	HE601899.1	Red squirrel UK	48	Y
15	E10	sulfhydryl oxidase	AAL69776.1	PROT:AAL69776.1	SPV037 potential redox protein	Swinepox virus	AF410153	1	1	=	AF410153.1	17077-99	49	Y
15	E10	sulfhydryl oxidase	ABD97633.1	PROT:ABD97633.1	sulfhydryl oxidase	Taterapox virus	DQ437594	1	1	=	DQ437594.1	Dahomey 1968	50	Y
15	E10	sulfhydryl oxidase	ALA62441.1	PROT:ALA62441.1	IMV redox protein	Turkeypox virus	KP728110	1	1	=	KP728110.2	TKPV-HU1124/2011	51	Y
15	E10	sulfhydryl oxidase	AAO89345.1	PROT:AAO89345.1	sulfhydryl oxidase	Vaccinia virus WR	AY243312	1	1	=	AY243312.1	WR (Western Reserve)	52	Y
15	E10	sulfhydryl oxidase	CAA48992.1	PROT:CAA48992.1	E10R	Variola virus major	X69198	1	1	=	X69198.1	"India-1967, ssp. major"	53	Y
15	E10	sulfhydryl oxidase	CAB54651.1	PROT:CAB54651.1	C10R protein	Variola minor virus	Y16780	1	1	=	Y16780.1	Garcia-1966	54	Y
15	E10	sulfhydryl oxidase	AOP31754.1	PROT:AOP31754.1	sulfhydryl oxidase	Volepox virus	KU749311	1	1	=	KU749311.1	CA	55	Y
15	E10	sulfhydryl oxidase	ATI20982.1	PROT:ATI20982.1		Western grey kangaroopox virus	MF467280	1	1	=	MF467280.1	Western Australia	56	Y
15	E10	sulfhydryl oxidase	AAR07397.1	PROT:AAR07397.1	40R	Yaba monkey tumor virus	AY386371	1	1	=	AY386371.1	Yaba monkey tumor virus	59	Y
15	E10	sulfhydryl oxidase	CAC21278.1	PROT:CAC21278.1	40R protein	Yaba-like disease virus	AJ293568	1	1	=	AJ293568.1	Yaba-like disease virus	58	Y
15	E10	sulfhydryl oxidase	AEN03633.1	PROT:AEN03633.1	sulfhydryl oxidase	Yokapox virus	HQ849551	1	1	=	HQ849551.1	DakArB 4268	57	Y
